source_rank,tld,status
1,com,delegated
2,net,delegated
3,org,delegated
4,arpa,delegated
5,uk,delegated
6,info,delegated
7,io,delegated
8,xyz,delegated
9,de,delegated
10,biz,delegated
11,local,special-use
12,cn,delegated
13,edu,delegated
14,cz,delegated
15,co,delegated
16,me,delegated
17,eu,delegated
18,site,delegated
19,google,delegated
20,fr,delegated
21,microsoft,delegated
22,kr,delegated
23,ru,delegated
24,us,delegated
25,it,delegated
26,jp,delegated
27,internal,undelegated
28,ai,delegated
29,br,delegated
30,tr,delegated
31,in,delegated
32,online,delegated
33,ch,delegated
34,cloud,delegated
35,nl,delegated
36,pl,delegated
37,ca,delegated
38,club,delegated
39,ms,delegated
40,tech,delegated
41,tv,delegated
42,se,delegated
43,dev,delegated
44,au,delegated
45,be,delegated
46,goog,delegated
47,app,delegated
48,at,delegated
49,no,delegated
50,to,delegated
51,media,delegated
52,es,delegated
53,mx,delegated
54,ua,delegated
55,fi,delegated
56,cc,delegated
57,gov,delegated
58,tw,delegated
59,vn,delegated
60,id,delegated
61,services,delegated
62,sk,delegated
63,ar,delegated
64,hk,delegated
65,sg,delegated
66,localdomain,undelegated
67,azure-dns-info,undelegated
68,za,delegated
69,pt,delegated
70,dk,delegated
71,network,delegated
72,gr,delegated
73,gg,delegated
74,live,delegated
75,ro,delegated
76,cl,delegated
77,la,delegated
78,th,delegated
79,nz,delegated
80,is,delegated
81,il,delegated
82,hu,delegated
83,im,delegated
84,pk,delegated
85,sh,delegated
86,ae,delegated
87,bg,delegated
88,kz,delegated
89,my,delegated
90,pro,delegated
91,lt,delegated
92,ee,delegated
93,ws,delegated
94,si,delegated
95,ph,delegated
96,rs,delegated
97,ie,delegated
98,pe,delegated
99,fm,delegated
100,link,delegated
101,apple,delegated
102,zone,delegated
103,top,delegated
104,uz,delegated
105,sa,delegated
106,lan,undelegated
107,works,delegated
108,gt,delegated
109,systems,delegated
110,lv,delegated
111,bz,delegated
112,so,delegated
113,one,delegated
114,ke,delegated
115,hr,delegated
116,md,delegated
117,st,delegated
118,ly,delegated
119,business,delegated
120,np,delegated
121,am,delegated
122,ge,delegated
123,ba,delegated
124,news,delegated
125,et,delegated
126,invalid,special-use
127,ne,delegated
128,technology,delegated
129,hn,delegated
130,lu,delegated
131,ma,delegated
132,do,delegated
133,mobi,delegated
134,bd,delegated
135,host,delegated
136,tn,delegated
137,li,delegated
138,ec,delegated
139,by,delegated
140,kh,delegated
141,nu,delegated
142,tk,delegated
143,ng,delegated
144,global,delegated
145,bo,delegated
146,cr,delegated
147,ir,delegated
148,ve,delegated
149,uy,delegated
150,unifi,undelegated
151,eg,delegated
152,qa,delegated
153,bi,delegated
154,py,delegated
155,mz,delegated
156,aws,delegated
157,shop,delegated
158,cat,delegated
159,lk,delegated
160,kg,delegated
161,tz,delegated
162,ug,delegated
163,ci,delegated
164,ps,delegated
165,mk,delegated
166,az,delegated
167,al,delegated
168,example,special-use
169,gl,delegated
170,zw,delegated
171,ni,delegated
172,mn,delegated
173,vg,delegated
174,sn,delegated
175,ki,delegated
176,lb,delegated
177,om,delegated
178,gh,delegated
179,mt,delegated
180,cy,delegated
181,ac,delegated
182,cf,delegated
183,digital,delegated
184,kw,delegated
185,dz,delegated
186,jo,delegated
187,vc,delegated
188,pa,delegated
189,cu,delegated
190,space,delegated
191,sv,delegated
192,ag,delegated
193,cm,delegated
194,ml,delegated
195,ao,delegated
196,cv,delegated
197,click,delegated
198,email,delegated
199,na,delegated
200,mw,delegated
201,iq,delegated
202,cd,delegated
203,mu,delegated
204,asia,delegated
205,ga,delegated
206,bn,delegated
207,life,delegated
208,bw,delegated
209,rw,delegated
210,mm,delegated
211,tj,delegated
212,africa,delegated
213,gy,delegated
214,world,delegated
215,ad,delegated
216,as,delegated
217,tm,delegated
218,sc,delegated
219,tt,delegated
220,mv,delegated
221,cg,delegated
222,af,delegated
223,bh,delegated
224,store,delegated
225,mg,delegated
226,zm,delegated
227,vip,delegated
228,tg,delegated
229,tl,delegated
230,sl,delegated
231,video,delegated
232,sm,delegated
233,home,undelegated
234,sb,delegated
235,vu,delegated
236,jm,delegated
237,fj,delegated
238,chat,delegated
239,je,delegated
240,bs,delegated
241,ls,delegated
242,pr,delegated
243,gm,delegated
244,bj,delegated
245,ht,delegated
246,su,delegated
247,pg,delegated
248,gp,delegated
249,pn,delegated
250,fun,delegated
251,sr,delegated
252,dj,delegated
253,bf,delegated
254,vi,delegated
255,td,delegated
256,nf,delegated
257,ink,delegated
258,bt,delegated
259,pw,delegated
260,ck,delegated
261,delivery,delegated
262,mil,delegated
263,direct,delegated
264,work,delegated
265,dm,delegated
266,games,delegated
267,solutions,delegated
268,software,delegated
269,gi,delegated
270,fo,delegated
271,nr,delegated
272,icu,delegated
273,tools,delegated
274,amazon,delegated
275,hosting,delegated
276,page,delegated
277,re,delegated
278,plus,delegated
279,rocks,delegated
280,website,delegated
281,domains,delegated
282,wf,delegated
283,name,delegated
284,ltd,delegated
285,pub,delegated
286,design,delegated
287,ninja,delegated
288,group,delegated
289,server,undelegated
290,art,delegated
291,studio,delegated
292,run,delegated
293,lol,delegated
294,win,delegated
295,ovh,delegated
296,best,delegated
297,today,delegated
298,cfd,delegated
299,market,delegated
300,help,delegated
301,blog,delegated
302,team,delegated
303,support,delegated
304,fox,delegated
305,cyou,delegated
306,null,undelegated
307,agency,delegated
308,bid,delegated
309,bet,delegated
310,cx,delegated
311,build,delegated
312,buzz,delegated
313,events,delegated
314,sbs,delegated
315,cam,delegated
316,social,delegated
317,moe,delegated
318,center,delegated
319,guru,delegated
320,lat,delegated
321,aero,delegated
322,wpad,undelegated
323,red,delegated
324,stream,delegated
325,wiki,delegated
326,health,delegated
327,int,delegated
328,company,delegated
329,finance,delegated
330,travel,delegated
331,codes,delegated
332,onl,delegated
333,https,undelegated
334,fit,delegated
335,bio,delegated
336,pics,delegated
337,bind,undelegated
338,no-op-domain,undelegated
339,xxx,delegated
340,tc,delegated
341,wtf,delegated
342,care,delegated
343,event,undelegated
344,game,delegated
345,coop,delegated
346,casa,delegated
347,academy,delegated
348,bayern,delegated
349,fyi,delegated
350,partners,delegated
351,corp,undelegated
352,marketing,delegated
353,initplayback,undelegated
354,engineering,delegated
355,box,delegated
356,audio,delegated
357,city,delegated
358,party,delegated
359,files,undelegated
360,gd,delegated
361,love,delegated
362,pm,delegated
363,onion,special-use
364,pet,delegated
365,localhost,special-use
366,monster,delegated
367,money,delegated
368,cool,delegated
369,xn--p1ai,delegated
370,inc,delegated
371,qpon,delegated
372,land,delegated
373,watch,delegated
374,gs,delegated
375,test,special-use
376,express,delegated
377,energy,delegated
378,ax,delegated
379,llc,delegated
380,trade,delegated
381,international,delegated
382,show,delegated
383,exchange,delegated
384,eus,delegated
385,rest,delegated
386,education,delegated
387,tel,delegated
388,gold,delegated
389,nexus,delegated
390,beer,delegated
391,casino,delegated
392,dog,delegated
393,press,delegated
394,fan,delegated
395,house,delegated
396,expert,delegated
397,cafe,delegated
398,cash,delegated
399,tf,delegated
400,community,delegated
401,jobs,delegated
402,homes,delegated
403,mp,delegated
404,tokyo,delegated
405,mo,delegated
406,bot,delegated
407,vision,delegated
408,sx,delegated
409,uno,delegated
410,quest,delegated
411,garden,delegated
412,now,delegated
413,microsoftofficehub,undelegated
414,blue,delegated
415,sy,delegated
416,undefined,undelegated
417,photos,delegated
418,swiss,delegated
419,bar,delegated
420,bond,delegated
421,family,delegated
422,foundation,delegated
423,bike,delegated
424,pizza,delegated
425,mom,delegated
426,earth,delegated
427,army,delegated
428,school,delegated
429,xin,delegated
430,rip,delegated
431,autos,delegated
432,ooo,delegated
433,coffee,delegated
434,security,delegated
435,golf,delegated
436,download,delegated
437,tips,delegated
438,careers,delegated
439,capital,delegated
440,scot,delegated
441,berlin,delegated
442,porn,delegated
443,guide,delegated
444,farm,delegated
445,sap,delegated
446,boo,delegated
447,church,delegated
448,baby,delegated
449,place,delegated
450,nyc,delegated
451,tube,delegated
452,legal,delegated
453,fans,delegated
454,gallery,delegated
455,photo,delegated
456,skin,delegated
457,gq,delegated
458,zip,delegated
459,wang,delegated
460,free,delegated
461,nrw,delegated
462,cab,delegated
463,beauty,delegated
464,surf,delegated
465,dummy,undelegated
466,science,delegated
467,cards,delegated
468,law,delegated
469,con,undelegated
470,gmbh,delegated
471,sale,delegated
472,deals,delegated
473,london,delegated
474,report,delegated
475,pictures,delegated
476,forum,delegated
477,kim,delegated
478,comhttp,undelegated
479,men,delegated
480,webcam,delegated
481,style,delegated
482,town,delegated
483,eco,delegated
484,bank,delegated
485,ing,delegated
486,day,delegated
487,desi,delegated
488,directory,delegated
489,study,delegated
490,wine,delegated
491,parts,delegated
492,solar,delegated
493,gay,delegated
494,gal,delegated
495,ist,delegated
496,industries,delegated
497,menu,delegated
498,clinic,delegated
499,management,delegated
500,ruhr,delegated
501,pink,delegated
502,nc,delegated
503,date,delegated
504,computer,delegated
505,institute,delegated
506,band,delegated
507,vin,delegated
508,hair,delegated
509,boutique,delegated
510,camera,delegated
511,adsl,undelegated
512,vet,delegated
513,dating,delegated
514,rent,delegated
515,fitness,delegated
516,fund,delegated
517,green,delegated
518,supply,delegated
519,consulting,delegated
520,builders,delegated
521,sport,delegated
522,fish,delegated
523,photography,delegated
524,wales,delegated
525,lc,delegated
526,bradesco,delegated
527,pf,delegated
528,shopping,delegated
529,dad,delegated
530,cymru,delegated
531,coach,delegated
532,promo,delegated
533,estate,delegated
534,mc,delegated
535,training,delegated
536,tours,delegated
537,godaddy,delegated
538,radio,delegated
539,film,delegated
540,gle,delegated
541,yachts,delegated
542,mov,delegated
543,college,delegated
544,boats,delegated
545,comhttps,undelegated
546,lgbt,delegated
547,sex,delegated
548,courses,delegated
549,sd,delegated
550,auction,delegated
551,loan,delegated
552,yoga,delegated
553,yt,delegated
554,fashion,delegated
555,amsterdam,delegated
556,loc,undelegated
557,ns,undelegated
558,paris,delegated
559,jetzt,delegated
560,globo,delegated
561,ventures,delegated
562,university,delegated
563,braze,undelegated
564,kitchen,delegated
565,mi,undelegated
566,camp,delegated
567,new,delegated
568,tax,delegated
569,kiwi,delegated
570,immo,delegated
571,taxi,delegated
572,dental,delegated
573,black,delegated
574,reviews,delegated
575,bm,delegated
576,toys,delegated
577,makeup,delegated
578,markets,delegated
579,auto,delegated
580,movie,delegated
581,bzh,delegated
582,svc,undelegated
583,dance,delegated
584,tld,undelegated
585,ngo,delegated
586,ky,delegated
587,sz,delegated
588,ceo,delegated
589,engineer,delegated
590,comnull,undelegated
591,ren,delegated
592,moscow,delegated
593,srl,delegated
594,limited,delegated
595,football,delegated
596,brussels,delegated
597,how,delegated
598,review,delegated
599,properties,delegated
600,horse,delegated
601,omada,undelegated
602,food,delegated
603,php,undelegated
604,wien,delegated
605,audi,delegated
606,gift,delegated
607,living,delegated
608,museum,delegated
609,rodeo,delegated
610,html,undelegated
611,koeln,delegated
612,wedding,delegated
613,fail,delegated
614,bingo,delegated
615,financial,delegated
616,motorcycles,delegated
617,quebec,delegated
618,schwarz,delegated
619,sexy,delegated
620,xn--p1acf,delegated
621,you,delegated
622,restaurant,delegated
623,contact,delegated
624,basketball,delegated
625,http,undelegated
626,gifts,delegated
627,mba,delegated
628,christmas,delegated
629,enterprises,delegated
630,vegas,delegated
631,vote,delegated
632,col,undelegated
633,clothing,delegated
634,tattoo,delegated
635,haus,delegated
636,healthcare,delegated
637,as132673,undelegated
638,rentals,delegated
639,investments,delegated
640,intra,undelegated
641,realtor,delegated
642,realestate,delegated
643,shoes,delegated
644,ski,delegated
645,foo,delegated
646,ye,delegated
647,workgroup,undelegated
648,forsale,delegated
649,dlink,undelegated
650,gratis,delegated
651,sky,delegated
652,cw,delegated
653,holdings,delegated
654,trading,delegated
655,lgwebostv,undelegated
656,coupons,delegated
657,adult,delegated
658,music,delegated
659,racing,delegated
660,meme,delegated
661,va,delegated
662,barcelona,delegated
663,poker,delegated
664,miami,delegated
665,www,undelegated
666,recipes,delegated
667,repair,delegated
668,taipei,delegated
669,kids,delegated
670,irish,delegated
671,faith,delegated
672,vlaanderen,delegated
673,glass,delegated
674,schule,delegated
675,bb,delegated
676,productions,delegated
677,loans,delegated
678,insure,delegated
679,salon,delegated
680,hamburg,delegated
681,gateway,undelegated
682,wlan0,undelegated
683,doctor,delegated
684,gives,delegated
685,lighting,delegated
686,mr,delegated
687,property,delegated
688,istanbul,delegated
689,gdn,delegated
690,diy,delegated
691,xn--fiqs8s,delegated
692,credit,delegated
693,moda,delegated
694,mail,undelegated
695,observer,delegated
696,domain,undelegated
697,graphics,delegated
698,frl,delegated
699,limo,delegated
700,olk,undelegated
701,futbol,delegated
702,construction,delegated
703,lawyer,delegated
704,js,undelegated
705,madrid,delegated
706,equipment,delegated
707,bible,delegated
708,abbott,delegated
709,luxury,delegated
710,none,undelegated
711,bbrouter,undelegated
712,lifestyle,delegated
713,archi,delegated
714,flights,delegated
715,hm,delegated
716,med,delegated
717,cheap,delegated
718,locker,delegated
719,url,undelegated
720,comundefined,undelegated
721,luxe,delegated
722,krd,delegated
723,eth0,undelegated
724,discount,delegated
725,bnpparibas,delegated
726,srv,undelegated
727,cars,delegated
728,jewelry,delegated
729,aw,delegated
730,v1,undelegated
731,next,delegated
732,tirol,delegated
733,boston,delegated
734,navy,delegated
735,broker,delegated
736,soccer,delegated
737,orghttp,undelegated
738,kaufen,delegated
739,burp,undelegated
740,actor,delegated
741,sydney,delegated
742,reisen,delegated
743,png,undelegated
744,mobile,delegated
745,capetown,delegated
746,cpa,delegated
747,cleaning,delegated
748,bmw,delegated
749,intranet,undelegated
750,tickets,delegated
751,joburg,delegated
752,leclerc,delegated
753,abb,delegated
754,charity,delegated
755,saarland,delegated
756,exposed,delegated
757,supplies,delegated
758,xn--90ais,delegated
759,feedback,delegated
760,tatar,delegated
761,ip,undelegated
762,immobilien,delegated
763,voyage,delegated
764,melbourne,delegated
765,intern,undelegated
766,ic,undelegated
767,claims,delegated
768,furniture,delegated
769,sarl,delegated
770,hockey,delegated
771,channel,delegated
772,holiday,delegated
773,corsica,delegated
774,associates,delegated
775,gf,delegated
776,ong,delegated
777,villas,delegated
778,default,undelegated
779,cruises,delegated
780,gent,delegated
781,yokohama,delegated
782,nagoya,delegated
783,xn--6frz82g,delegated
784,sucks,delegated
785,ss,delegated
786,xn--55qx5d,delegated
787,canon,delegated
788,krhttp,undelegated
789,tienda,delegated
790,vacations,delegated
791,ads,delegated
792,okinawa,delegated
793,cooking,delegated
794,jpg,undelegated
795,car,delegated
796,comm,undelegated
797,florist,delegated
798,diamonds,delegated
799,tennis,delegated
800,mortgage,delegated
801,xn--j1amh,delegated
802,dom,undelegated
803,czhttp,undelegated
804,apartments,delegated
805,xn--80asehdb,delegated
806,xn--h2brj9c,delegated
807,xn--ses554g,delegated
808,ruhttp,undelegated
809,xn--3ds443g,delegated
810,bargains,delegated
811,singles,delegated
812,xn--80adxhks,delegated
813,rehab,delegated
814,autodesk,undelegated
815,mq,delegated
816,storage,delegated
817,hp-print-mgmt,undelegated
818,talk,delegated
819,xn--3e0b707e,delegated
820,cnhttp,undelegated
821,cologne,delegated
822,contractors,delegated
823,rugby,delegated
824,voto,delegated
825,rsvp,delegated
826,forex,delegated
827,spa,delegated
828,giving,delegated
829,pvt,undelegated
830,fishing,delegated
831,soy,delegated
832,xn--io0a7i,delegated
833,dhl,delegated
834,lab,undelegated
835,catering,delegated
836,googledomains,undelegated
837,plumbing,delegated
838,xn--o3cw4h,delegated
839,citrix,undelegated
840,statefarm,delegated
841,json,undelegated
842,maison,delegated
843,career,delegated
844,lease,delegated
845,api,undelegated
846,hospital,delegated
847,dlinkrouter,undelegated
848,organic,delegated
849,gvc884571451de,undelegated
850,kred,delegated
851,tl-wa850re,undelegated
852,alsace,delegated
853,realty,delegated
854,phd,delegated
855,nethttp,undelegated
856,country,delegated
857,rio,delegated
858,attorney,delegated
859,durban,delegated
860,scloud,undelegated
861,fast,delegated
862,cricket,delegated
863,lr,delegated
864,vodka,delegated
865,eduhttp,undelegated
866,xn--mk1bu44c,delegated
867,dentist,delegated
868,kp,delegated
869,reise,delegated
870,hot,delegated
871,vnhttp,undelegated
872,dvag,delegated
873,diet,delegated
874,gripe,delegated
875,accountant,delegated
876,esq,delegated
877,kn,delegated
878,dehttp,undelegated
879,getcacheddhcpresultsforcurrentconfig,undelegated
880,or,undelegated
881,deal,delegated
882,abudhabi,delegated
883,flowers,delegated
884,gn,delegated
885,xn--czru2d,delegated
886,nhk,delegated
887,xn--t60b56a,delegated
888,physio,delegated
889,crs,delegated
890,spot,delegated
891,domainforsale,undelegated
892,theater,delegated
893,metadata,undelegated
894,xn--6qq986b3xl,delegated
895,realtek,undelegated
896,dns,undelegated
897,xn--80aswg,delegated
898,surgery,delegated
899,tires,delegated
900,login,undelegated
901,mp3,undelegated
902,siriinternet,undelegated
903,xn--5tzm5g,delegated
904,republican,delegated
905,comms-appx-web,undelegated
906,commarket,undelegated
907,config,undelegated
908,accountants,delegated
909,williamhill,delegated
910,router,undelegated
911,xn--tckwe,delegated
912,mob,undelegated
913,pri,undelegated
914,omicron,undelegated
915,osaka,delegated
916,exe,undelegated
917,hiboard,undelegated
918,txt,undelegated
919,moi,delegated
920,ithttp,undelegated
921,pharmacy,delegated
922,dealer,delegated
923,creditcard,delegated
924,xn--q9jyb4c,delegated
925,priv,undelegated
926,gw,delegated
927,cboxh,undelegated
928,hola,undelegated
929,gop,delegated
930,tcs,undelegated
931,xn--j6w193g,delegated
932,condos,delegated
933,mars,undelegated
934,cnb,undelegated
935,iphone,undelegated
936,mibhigh,undelegated
937,kyoto,delegated
938,private,undelegated
939,jphttp,undelegated
940,hiphop,delegated
941,argocd-repo-server,undelegated
942,android,delegated
943,mib2p,undelegated
944,go,undelegated
945,barclays,delegated
946,lcl,undelegated
947,post,delegated
948,warp-svc,undelegated
949,xn--czr694b,delegated
950,toyota,delegated
951,no-data,undelegated
952,grp,undelegated
953,hkhttp,undelegated
954,democrat,delegated
955,ico,undelegated
956,blank,undelegated
957,select,delegated
958,data,delegated
959,dll,undelegated
960,admin,undelegated
961,xn--d1acj3b,delegated
962,man,delegated
963,cisco,delegated
964,nlhttp,undelegated
965,prof,delegated
966,comv1,undelegated
967,comt,undelegated
968,degree,delegated
969,wifi,undelegated
970,cnnull,undelegated
971,root,undelegated
972,content,undelegated
973,ntt,delegated
974,memorial,delegated
975,belkin,undelegated
976,yun,delegated
977,fk,delegated
978,airforce,delegated
979,xn--kput3i,delegated
980,unused,undelegated
981,gn-cn,undelegated
982,gbl,undelegated
983,pdfpro,undelegated
984,cahttp,undelegated
985,pay,delegated
986,xn--90ae,delegated
987,empty,undelegated
988,coms,undelegated
989,yu,undelegated
990,master,undelegated
991,citic,delegated
992,qtq,undelegated
993,viajes,delegated
994,eunull,undelegated
995,hotspot-50,undelegated
996,shiksha,delegated
997,behnam,undelegated
998,ns1,undelegated
999,guitars,delegated
1000,redis,undelegated
