source_rank,tld,source_status,evidence_state,evidence_date,report_ref,fixture_ref,fixture_scope,evidence_note,follow_up_state,follow_up_date,follow_up_report_ref,follow_up_fixture_ref,follow_up_note
1,com,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
2,net,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
3,org,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
4,arpa,delegated,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Infrastructure; excluded from registrable-domain parser scope,"","","","",""
5,uk,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
6,info,delegated,summary_only_unsupported,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
7,io,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
8,xyz,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
9,de,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
10,biz,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
11,local,special-use,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Special-use; no parser or availability inference,"","","","",""
12,cn,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
13,edu,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
14,cz,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
15,co,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
16,me,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
17,eu,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
18,site,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
19,google,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted or non-public,"","","","",""
20,fr,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
21,microsoft,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted or non-public,"","","","",""
22,kr,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
23,ru,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
24,us,delegated,registered_only,2026-09-25,docs/audits/top-us-current-2026-09-25.md,spec/fixtures/responses/whois.nic.us/us/status_registered_current.txt;spec/fixtures/responses/whois.nic.us/us/status_no_record_current.txt,row_specific,Registered record observed; No Data Found is non-authoritative under the registry disclaimer.,"","","","",""
25,it,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
26,jp,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
27,internal,undelegated,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Special-use; no parser or availability inference,"","","","",""
28,ai,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
29,br,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
30,tr,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
31,in,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
32,online,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
33,ch,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Refuses port-43,"","","","",""
34,cloud,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
35,nl,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
36,pl,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
37,ca,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
38,club,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
39,ms,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
40,tech,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
41,tv,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
42,se,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
43,dev,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unavailable,rdap_only_no_whois,2026-09-25,docs/audits/top1000-es-pk-shop-dev-app-2026-09-25.md,"",IANA lists Google Registry RDAP and no WHOIS server; no WHOIS parser result is inferred.
44,au,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
45,be,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
46,goog,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Non-public,"","","","",""
47,app,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unavailable,rdap_only_no_whois,2026-09-25,docs/audits/top1000-es-pk-shop-dev-app-2026-09-25.md,"",IANA lists Google Registry RDAP and no WHOIS server; no WHOIS parser result is inferred.
48,at,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
49,no,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
50,to,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
51,media,delegated,summary_only_unsupported,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
52,es,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Transient refusal,"","","","",""
53,mx,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
54,ua,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
55,fi,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
56,cc,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
57,gov,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
58,tw,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
59,vn,delegated,unknown_unsafe,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted,"","","","",""
60,id,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
61,services,delegated,summary_only_unsupported,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
62,sk,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
63,ar,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
64,hk,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
65,sg,delegated,summary_only_healthy_fixed,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
66,localdomain,undelegated,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Undelegated/non-public; no parser or availability inference,"","","","",""
