source_rank,tld,source_status,evidence_state,evidence_date,report_ref,fixture_ref,fixture_scope,evidence_note,follow_up_state,follow_up_date,follow_up_report_ref,follow_up_fixture_ref,follow_up_note
1,com,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
2,net,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
3,org,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
4,arpa,delegated,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Infrastructure; excluded from registrable-domain parser scope,"","","","",""
5,uk,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
6,info,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
7,io,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
8,xyz,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
9,de,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
10,biz,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
11,local,special-use,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Special-use; no parser or availability inference,"","","","",""
12,cn,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
13,edu,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
14,cz,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
15,co,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
16,me,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
17,eu,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
18,site,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
19,google,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted or non-public,"","","","",""
20,fr,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
21,microsoft,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted or non-public,"","","","",""
22,kr,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
23,ru,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
24,us,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Ambiguous (Top-100 summary label only),registered_only,2026-09-25,docs/audits/top-us-current-2026-09-25.md,spec/fixtures/responses/whois.nic.us/us/status_registered_current.txt;spec/fixtures/responses/whois.nic.us/us/status_no_record_current.txt,"A registered record was observed. The generated-name reply was No Data Found, which the registry disclaimer says does not indicate availability."
25,it,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
26,jp,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
27,internal,undelegated,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Special-use; no parser or availability inference,"","","","",""
28,ai,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
29,br,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
30,tr,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
31,in,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
32,online,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
33,ch,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Refuses port-43,unknown,2026-09-25,docs/audits/top-1000-effective-coverage-scorecard-2026-09-25.md,"",The current response denied this client access. Denial does not establish registration or absence.
34,cloud,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
35,nl,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
36,pl,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
37,ca,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
38,club,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
39,ms,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
40,tech,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
41,tv,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
42,se,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
43,dev,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unavailable,rdap_only_no_whois,2026-09-25,docs/audits/top1000-es-pk-shop-dev-app-2026-09-25.md,"",IANA lists Google Registry RDAP and no WHOIS server; no WHOIS result is inferred.
44,au,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
